ID ,TICKER,CUSIP   ,NAME                             ,HBTA,BETA,SRISK%,TRISK%,VOLTILTY,MOMENTUM,SIZE    ,SIZENONL,TRADEACT,GROWTH  ,EARNYLD ,VALUE   ,EARNVAR ,LEVERAGE,CURRSEN ,YIELD   ,NONESTU ,INDNAME1,IND1,WGT1%,INDNAME2,IND2,WGT2%,INDNAME3,IND3,WGT3%,INDNAME4,IND4,WGT4%,INDNAME5,IND5,WGT5%,PRICE   ,CAPITALIZATION  ,YLD%  ,SAP500,SAPVAL,SAPGRO,MIDCAP,MIDVAL,MIDGRO,SC600 ,SCVAL ,SCGRO ,E3ESTU,INTRA_MONTH_ADDITION
USAU2I1,AMGY  ,02746220,AMERICAN MTL & TECH INC          , 1.657, 2.118,  53.787,  67.139, 5.000, 2.740,-5.020,-5.066,-3.142, 1.158,-2.140, 0.420, 1.489, 1.708, 1.453,-0.931, 1.000,INDPART ,  29, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.094,       1130329.200,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU2W1,MSET  ,55824810,MADISON SPORTS & ENTMT GPROUP    , 0.397, 1.044,  37.471,  45.921, 2.225, 3.854,-5.020,-5.066,-3.195,-0.114,-1.745, 1.138, 4.164, 3.467, 1.303,-1.034, 1.000,ENTRTAIN,  24, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.003,         35725.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU361,CEVE  ,15677X10,CERES VENTURES INC               ,-1.593, 1.748,  53.285,  65.252, 3.336,-5.000,-5.020,-5.066,-3.241,-3.936,-4.358,-3.744, 3.728, 4.154, 2.192,-1.559, 1.000,BIOTECH ,  55, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.010,        855020.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU3F1,MBCRQ ,58734P10,MERCANTILE BANCORP INC ILL       , 1.587, 2.207,  61.608,  77.456, 5.000,-4.397,-5.020,-5.066,-2.385,-1.597,-5.000, 1.694, 2.885, 1.943,-2.012,-0.560, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.080,        699840.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU441,LCAV  ,50180330,LCA-VISION INC                   , 3.046, 1.635,  44.220,  54.395, 4.047,-0.476,-4.646,-5.066,-1.966,-2.902,-3.149,-0.399, 3.892, 0.551,-2.478,-1.050, 1.000,MEDPROVR,  35, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     3.720,      71576520.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU471,MZEI  ,58501310,MEDIZONE INTL INC                , 0.891, 1.506,  45.640,  54.048, 3.312, 0.644,-5.020,-5.066,-2.651, 0.702,-1.419,-1.429, 1.187, 1.897, 1.974,-1.050, 1.000,INFOSVCS,  45, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     0.105,      32619615.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU4F1,NACB  ,63516210,NATIONAL CAP BK WASHINGTON D C   , 0.101, 0.794,  29.440,  36.235, 0.711,-0.398,-4.636,-5.066,-2.363, 0.137,-1.302, 1.304, 1.653, 0.919,-0.965,-0.230, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,   280.000,      80640000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU4K1,HBOI  ,41753E10,HARVEST BIO-ORGANIC INTL CO LT   , 0.623, 1.598,  35.428,  47.591, 2.198,-0.729,-5.020,-5.066,-2.734,-0.282,-3.413, 0.706, 2.710, 2.836, 0.501,-1.317, 1.000,CONSTRUC,  19, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,     2.000,       1204000.000,   0.000,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
USAU4O1,NATI  ,63651810,NATIONAL INSTRS CORP             , 1.128, 1.100,  21.180,  28.780, 0.530,-0.618,-1.774,-0.428,-1.498,-0.205,-0.814,-0.359,-0.148,-0.203,-0.254, 0.011, 0.000,CMPTRSW ,  41, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    27.750,    3428540250.000,   2.193,     0,     0,     0,     1,     0,     1,     0,     0,     0,     1,     0
USAU4U1,NBOH  ,63259210,NATIONAL BANCSHARES CORP OHIO    ,-0.065, 0.483,  16.353,  24.277,-0.408,-0.048,-5.020,-5.066,-2.472,-0.002,-0.050, 2.009, 1.053, 0.549, 0.311,-0.108, 1.000,BANKS   ,  49, 100,        ,   0,   0,        ,   0,   0,        ,   0,   0,        ,   0,   0,    18.555,      41192100.000,   1.947,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0
